protein	frac_centro_specific	frac_NT_control	diff	cohens_h	z	n_centro_specific	n_NT_control
K562-HNRNPC-eCLIP	0.6772	0.6451	+0.0321	+0.0678	+2.09	1288	1227
K562-GEMIN5-eCLIP	0.5563	0.5226	+0.0336	+0.0675	+2.08	1058	994
K562-CPSF6-eCLIP	0.5168	0.4842	+0.0326	+0.0652	+2.01	983	921
RBM20-PARCLIP	0.0573	0.0431	+0.0142	+0.0652	+2.00	109	82
HepG2-NKRF-eCLIP	0.5673	0.5352	+0.0321	+0.0645	+1.99	1079	1018
K562-PABPC4-eCLIP	0.5315	0.4995	+0.0321	+0.0642	+1.98	1011	950
HepG2-DROSHA-eCLIP	0.6583	0.6278	+0.0305	+0.0637	+1.96	1252	1194
K562-SAFB2-eCLIP	0.4579	0.4264	+0.0315	+0.0635	+1.96	871	811
HepG2-EFTUD2-eCLIP	0.4732	0.4416	+0.0315	+0.0633	+1.95	900	840
K562-FAM120A-eCLIP	0.5200	0.4884	+0.0315	+0.0631	+1.95	989	929
HepG2-SDAD1-eCLIP	0.3701	0.3407	+0.0294	+0.0615	+1.90	704	648
K562-PTBP1-eCLIP	0.4863	0.4558	+0.0305	+0.0611	+1.88	925	867
HepG2-FXR2-eCLIP	0.5168	0.4863	+0.0305	+0.0610	+1.88	983	925
K562-DDX42-eCLIP	0.4180	0.3891	+0.0289	+0.0590	+1.82	795	740
NUDT21-PARCLIP	0.2865	0.2608	+0.0258	+0.0578	+1.78	545	496
NOP58-PARCLIP	0.1793	0.1577	+0.0216	+0.0576	+1.78	341	300
K562-AKAP8L-eCLIP	0.5573	0.5305	+0.0268	+0.0538	+1.66	1060	1009
K562-EFTUD2-eCLIP	0.4527	0.4264	+0.0263	+0.0530	+1.63	861	811
CPSF3-PARCLIP	0.0515	0.0405	+0.0110	+0.0528	+1.63	98	77
K562-TIA1-eCLIP	0.6146	0.5889	+0.0258	+0.0526	+1.62	1169	1120
HNRNPC-PARCLIP	0.4632	0.4385	+0.0247	+0.0497	+1.53	881	834
K562-DDX3X-eCLIP	0.5894	0.5668	+0.0226	+0.0458	+1.41	1121	1078
HepG2-DDX3X-eCLIP	0.4926	0.4700	+0.0226	+0.0453	+1.40	937	894
HepG2-NOLC1-eCLIP	0.4227	0.4006	+0.0221	+0.0449	+1.38	804	762
MOV10-PARCLIP	0.2766	0.2571	+0.0195	+0.0440	+1.36	526	489
K562-RPS3-eCLIP	0.5605	0.5389	+0.0216	+0.0433	+1.34	1066	1025
K562-SMNDC1-eCLIP	0.6130	0.5920	+0.0210	+0.0430	+1.33	1166	1126
HepG2-FTO-eCLIP	0.3696	0.3491	+0.0205	+0.0427	+1.32	703	664
K562-DROSHA-eCLIP	0.5079	0.4869	+0.0210	+0.0421	+1.30	966	926
HepG2-BCCIP-eCLIP	0.3460	0.3265	+0.0195	+0.0412	+1.27	658	621
K562-HNRNPM-eCLIP	0.3465	0.3291	+0.0174	+0.0367	+1.13	659	626
RC3H1-PARCLIP	0.0221	0.0174	+0.0047	+0.0341	+1.05	42	33
K562-DDX6-eCLIP	0.5652	0.5484	+0.0168	+0.0339	+1.04	1075	1043
K562-TARDBP-eCLIP	0.4590	0.4422	+0.0168	+0.0338	+1.04	873	841
HepG2-KHSRP-eCLIP	0.5494	0.5326	+0.0168	+0.0338	+1.04	1045	1013
HepG2-RBM22-eCLIP	0.4921	0.4753	+0.0168	+0.0337	+1.04	936	904
TARDBP-PARCLIP	0.0931	0.0841	+0.0089	+0.0315	+0.97	177	160
HepG2-HNRNPU-eCLIP	0.2823	0.2702	+0.0121	+0.0270	+0.83	537	514
HepG2-HNRNPA1-eCLIP	0.4884	0.4758	+0.0126	+0.0253	+0.78	929	905
HepG2-TRA2A-eCLIP	0.3549	0.3433	+0.0116	+0.0243	+0.75	675	653
K562-HNRNPA1-eCLIP	0.3780	0.3665	+0.0116	+0.0239	+0.74	719	697
K562-KHSRP-eCLIP	0.5594	0.5484	+0.0110	+0.0222	+0.68	1064	1043
ELAVL1-PARCLIP	0.5373	0.5263	+0.0110	+0.0221	+0.68	1022	1001
K562-U2AF1-eCLIP	0.4953	0.4842	+0.0110	+0.0221	+0.68	942	921
K562-FTO-eCLIP	0.4905	0.4800	+0.0105	+0.0210	+0.65	933	913
HepG2-STAU2-eCLIP	0.4527	0.4427	+0.0100	+0.0201	+0.62	861	842
IGF2BP1-PARCLIP	0.1814	0.1740	+0.0074	+0.0193	+0.59	345	331
IGF2BP2-PARCLIP	0.1546	0.1477	+0.0068	+0.0191	+0.59	294	281
K562-CSTF2T-eCLIP	0.4869	0.4784	+0.0084	+0.0168	+0.52	926	910
K562-WDR43-eCLIP	0.3491	0.3412	+0.0079	+0.0166	+0.51	664	649
G3BP1-PARCLIP	0.0315	0.0289	+0.0026	+0.0154	+0.47	60	55
TRA2B-MDA231-rep2-iCLIP	0.1824	0.1767	+0.0058	+0.0151	+0.46	347	336
K562-TAF15-eCLIP	0.4558	0.4485	+0.0074	+0.0148	+0.46	867	853
K562-YWHAG-eCLIP	0.5016	0.4942	+0.0074	+0.0147	+0.45	954	940
HepG2-DDX55-eCLIP	0.5294	0.5226	+0.0068	+0.0137	+0.42	1007	994
PUM2-PARCLIP	0.0168	0.0152	+0.0016	+0.0126	+0.39	32	29
K562-NCBP2-eCLIP	0.4674	0.4621	+0.0053	+0.0105	+0.33	889	879
K562-NIPBL-eCLIP	0.4937	0.4884	+0.0053	+0.0105	+0.32	939	929
K562-DDX55-eCLIP	0.5999	0.5962	+0.0037	+0.0075	+0.23	1141	1134
K562-APOBEC3C-eCLIP	0.5836	0.5804	+0.0032	+0.0064	+0.20	1110	1104
HepG2-CSTF2-eCLIP	0.5694	0.5662	+0.0032	+0.0064	+0.20	1083	1077
K562-GPKOW-eCLIP	0.4553	0.4522	+0.0032	+0.0063	+0.20	866	860
