gene	Centro_apex_R1	Centro_apex_R2	Centro_apex_R3	NT_apex_R1	NT_apex_R2	NT_apex_R3	No_apex_R1	No_apex_R2	No_apex_R3
ACOX3	0.266834	0.347948	0.244586	0.229961	0.288026	0.345069	0.397416	0	0.397382
ACOXL	0.0117518	0.0038989	0.015759	0.00634999	0.00586038	0.00144999	0.003658	0	0.00438922
ACOXL-AS1	0.0139201	0.0207823	0	0	0	0.0309155	0.0779928	0	0
ACP1	2.15103	2.12325	1.71639	2.98257	2.63292	2.52682	2.49007	0	2.4799
ACP2	2.27748	1.99322	1.47437	2.5461	1.64485	1.10464	2.05341	0	2.15589
ACP3	0.00493656	0.00737013	0	0	0	0.0109637	0	0	0
ACP5	0	0.0702846	0	0	0	0	0	0	0
ACP6	0.135338	0.183686	0.049496	0.0598325	0.0828287	0.204937	0.103402	0	0.0827145
ACP7	0.0273491	0	0	0.0221668	0	0.0202468	0	0	0
ACRBP	0.080598	0.12033	0	0	0	0	0	0	0
ACRV1	0	0	0	0	0	0	0.150624	0	0
ACSBG1	0.0096434	0.0143973	0.0258633	0.0234483	0.0144269	0	0	0	0.0324157
ACSBG2	0.0608516	0.00648925	0	0.0317063	0.0780311	0.11584	0.0243532	0	0.0584426
ACSF2	0.0619715	0.231304	0.0415513	0.0502286	0.11589	0.172042	0.11574	0	0.104157
ACSF3	0.550774	0.542921	0.937426	0.3949	0.507064	0.399901	0.63301	0	0.492519
ACSL1	0.0713575	0.0905543	0.114827	0.0780788	0.0320261	0.0316959	0.119942	0	0.029983
ACSL3	1.86856	2.98705	2.87633	2.30096	2.85836	3.30927	3.14754	3.70759	3.31725
ACSL4	1.15926	1.18967	1.14021	1.19191	1.45973	1.31569	0.84607	0	0.941009
ACSL5	0.00926725	0.00691785	0	0.0225336	0.0415924	0	0.0259617	0	0.0155757
ACSM1	0.0066469	0.00992361	0.0267401	0.00808109	0	0	0.0186209	0	0.027929
ACSM2A	0.0208323	0	0	0	0	0	0	0	0
ACSM2B	0	0.0093376	0	0	0	0	0	0	0
ACSM3	0.00758653	0.015857	0.0244162	0.0110682	0	0.0101095	0.0085013	0	0.00510034
ACSM4	0	0	0	0	0	0	0	0	0.0171454
ACSM5	0.00790614	0.0236072	0	0.0192241	0	0.0175589	0	0	0.013288
ACSM6	0.0361991	0	0	0.0176039	0	0.0160791	0	0	0.0121681
ACSS1	0.0381322	0	0.0383509	0.02318	0	0	0	0	0.0080112
ACSS2	0.126132	0.208487	0.181222	0.142394	0.323482	0.270124	0.100957	0	0.227134
ACSS3	0.00619455	0.0115603	0.00623008	0.0131795	0.00695045	0.0103182	0.0173537	0	0.00390424
ACTA1	0.201689	0	0	0.326943	0	0	0	0	0
ACTA2	0.0914806	0.177551	0.147209	0.0778534	0.16423	0.121903	0.23065	0	0.13069
ACTA2-AS1	1.12891	0.459661	0	0	0	0.227929	0	0	0.172489
ACTB	39.1369	28.2238	37.6617	40.211	30.5793	29.5343	33.8538	16.5529	29.5416
ACTBL2	0.179985	0.134356	0	0	0	0	0	0	0
ACTBP1	0.225911	0	0	0	0	0	0	0	0.759387
ACTBP11	0.446606	0.333384	0	0	0	0	0	0	0.37531
ACTBP12	0.601529	0	0	0	0	0	0	0	0
ACTBP14	0	0	0	0.561417	0	0	0	0	0
ACTBP15	0.237207	0.354142	0	0	0	0	0	0	0.398678
ACTBP2	1.79119	1.00282	1.80147	1.08884	0	0.497263	1.25448	0	1.50525
ACTBP4	0.469979	0.701664	0	0.571386	2.10932	0	1.31662	0	0
ACTBP6	0	0	0	0	0	0	0	0	0.387705
ACTBP7	0.6711	0.667954	0	0.543935	0	0.49682	1.25337	0	0
ACTBP8	0.22693	0.3388	0	0.55179	1.01849	0	1.27147	0	0
ACTBP9	1.14394	0.683149	0	0	0	0	0	0	0
ACTC1	1.79599	0.35281	1.90136	1.49398	0.636364	0.944706	0.794427	0	0.95323
ACTE1P	0	0.0183911	0	0	0	0	0.0345096	0	0
ACTG1	39.6798	30.7126	27.7495	38.3729	33.4598	27.8923	33.0847	32.2464	26.5533
ACTG1P1	1.11355	0	1.7919	0	0	0.49462	0	0	0.374312
ACTG1P10	0	0.346941	0	0.565049	0	1.03221	0	0	0
ACTG1P12	0	0	0	0	0	0.478925	0	0	0
ACTG1P14	1.34459	0.334572	1.80308	1.63471	1.00578	0	0	0	0.753295
ACTG1P15	0.473074	0.706284	0	1.1503	1.0616	0	0	0	0
ACTG1P16	0.464767	0	0	1.1301	0	0	1.30202	0	0
ACTG1P17	0.0964698	0.0864158	0	0.140742	0.0865935	0.0857008	0.108102	0	0.129711
ACTG1P18	0.219982	0	0	0	0	0	0	0	0
ACTG1P19	0.901215	0.672742	0	0	0	0.500382	0	0	0
ACTG1P20	2.14905	3.20846	4.32276	2.61275	2.41129	1.19322	0	0	1.80598
ACTG1P21	0.251439	0.37539	0	0.611383	0	0	0	0	0
ACTG1P23	0.468229	0	0	1.70777	0	0	0	0	0
ACTG1P24	0.573407	0	0	0	0	0.636746	1.60637	0	0
ACTG1P25	0.055925	0.0556628	0.149989	0	0.167332	0.0414017	0	0	0.125326
ACTG1P3	0.902833	0.67395	1.81602	0	0	0.50128	0	0	0
ACTG1P4	0.896395	0.669145	0	1.08981	1.00578	0.497706	0	0	0.376648
ACTG1P9	0.283791	0.423691	0	0	0	0	1.06003	0	0.794956
ACTG2	0.0365039	0.0681239	0	0.0443803	0	0	0.102264	0	0.0153382
ACTL10	0.794185	0.711415	0	1.54487	0	0	0	0	0
ACTL11P	0.127021	0	0	0	0	0	0	0	0
ACTL6A	1.83244	1.92681	2.14021	1.94037	1.28227	1.94734	1.26957	24.3177	1.65582
ACTL6B	0.0188316	0.0281149	0	0	0	0	0	0	0
ACTL7A	0	0.251771	0	0	0	0	0	0	0
ACTL7B	0.179728	0	0	0	0	0	0	0	0
ACTL8	0.0245371	0.0156999	0.0282033	0.0426164	0.0314644	0	0.0589195	0	0.0117829
ACTL9	0.180114	0.268904	0	1.31386	0	0	1.00916	0	0
ACTN1	2.22436	2.84904	2.62001	2.10755	2.55759	2.04731	2.0123	1.47752	2.08859
ACTN1-DT	0.129241	0.0482383	0.519931	0.0785637	0.145012	0.0717587	0.181031	0	0.0543046
ACTN2	0.00750631	0.00747112	0	0.00608396	0.0112297	0	0	0	0.00841068
ACTN3	0.0148429	0.04432	0.119424	0	0	0	0	0	0
ACTN4	5.98785	5.2994	4.96478	5.57187	5.6464	4.44394	6.27685	9.24215	4.85323
ACTN4P1	0.346573	0	0	0.842706	0	0	0	0	0.291247
ACTN4P2	0	0.136555	0	0	0	0	0	0	0
ACTP1	0	0	0	1.5963	0	1.45803	0	0	0
ACTR10	0.438429	0.432854	0.796544	0.46425	0.253899	0.518268	0.475445	0	0.641796
ACTR1A	0.609631	0.560805	0.792731	0.733684	0.60802	0.615429	1.00056	0	0.558883
ACTR1B	1.17872	0.926203	0.748723	1.81016	1.25295	1.65337	1.56416	0	1.25122
ACTR2	1.79905	1.82228	1.81519	1.84262	1.89526	2.50525	1.29645	0	2.10006
ACTR3	2.05419	2.18834	2.09787	2.53597	2.51439	2.69975	2.11236	0	2.53461
ACTR3-AS1	0.124995	0.212354	0.173396	0.157206	0.135412	0.277605	0.265644	0	0.456386
ACTR3B	0.347066	0.467128	0.38079	0.326054	0.413019	0.496353	0.353559	0	0.486101
ACTR3C	0.189028	0.174031	0.126742	0.222154	0.183816	0.174924	0.176517	0	0.185327
ACTR5	0.455313	0.458448	0.596368	0.360455	0.427709	0.399783	0.177982	0	0.355933
ACTR6	0.335299	0.474244	0.283977	0.486314	0.396016	0.509513	0.296628	0	0.504224
ACTR8	1.18328	0.845978	0.938646	0.769953	0.897583	0.740275	0.840396	0	0.644248
ACTRT3	0.47603	0.426418	0	0.925987	0	0	0.533428	0	0.320029
ACVR1	0.446947	0.361777	0.47659	0.471369	0.499473	0.478378	0.40228	1.10765	0.419341
ACVR1B	0.494292	0.414585	0.536227	0.499661	0.473599	0.419378	0.311175	0	0.224027
ACVR1C	0.0270899	0.0330909	0.0198148	0.029941	0	0.0328171	0.0137984	0	0.0124174
ACVR2A	0.37627	0.452891	0.445901	0.361711	0.615278	0.686672	0.359538	1.79993	0.740257
ACVR2B	0.531665	0.688561	0.876159	0.654169	0.546232	0.654411	0.502458	3.95279	0.592131
ACVR2B-AS1	0.198818	0.197886	0	0	0.29744	0.44156	0	0	0
ACVRL1	0.0152813	0	0	0.0371571	0	0	0	0	0
ACY1	0	3.02734	16.3149	2.46525	4.55035	2.25172	5.68058	0	1.70403
ACYP1	0.897609	0.831787	0.74711	0.790241	0.972414	0.790534	0.693683	0	1.1965
ACYP2	0.0995786	0.119385	0.121394	0.0990528	0.132044	0.145762	0.0676276	0	0.145809
ADA	0.104522	0.0947434	0.0300347	0.0816908	0.083769	0.0580338	0.0418304	0	0.0752882
