gene	Centro_apex_R1	Centro_apex_R2	Centro_apex_R3	NT_apex_R1	NT_apex_R2	NT_apex_R3	No_apex_R1	No_apex_R2	No_apex_R3
LSM3	132	106	15	75	42	60	26	2	78
LSM3P5	1	0	0	0	0	0	0	0	0
LSM4	171	128	18	80	36	80	37	0	90
LSM5	86	55	10	36	21	33	9	0	45
LSM6	51	31	8	16	11	18	9	0	24
LSM7	46	37	6	16	13	16	8	0	22
LSM8	110	80	16	58	39	62	15	0	86
LSMEM1	1	4	0	3	1	0	0	0	2
LSMEM2	4	2	1	0	0	0	0	0	0
LSP1	10	7	0	4	0	4	2	0	2
LSP1P4	0	0	0	0	1	0	0	0	0
LSP1P5	6	3	0	2	2	2	0	0	1
LSR	6	1	0	4	2	1	2	0	1
LSS	182	128	28	74	40	88	60	3	133
LTA4H	133	70	13	51	27	56	15	0	71
LTB	0	1	0	0	0	0	0	0	0
LTB4R	36	18	1	12	7	9	2	0	11
LTB4R2	14	10	0	2	5	9	2	0	14
LTBP1	202	167	36	96	48	139	51	0	191
LTBP2	43	13	2	11	7	12	2	0	7
LTBP3	127	80	22	55	14	43	30	0	76
LTBP4	129	95	29	52	41	70	38	0	115
LTBR	178	78	23	58	21	49	21	0	56
LTC4S	1	1	0	0	1	1	0	0	1
LTF	4	1	0	5	1	0	1	0	2
LTK	4	0	1	0	0	1	0	0	1
LTN1	190	102	21	69	54	95	21	0	115
LTO1	77	39	9	18	14	22	10	0	23
LTV1	106	52	9	28	20	35	11	0	49
LUADT1	0	0	0	0	0	0	0	0	1
LUARIS	4	1	0	1	1	1	0	0	0
LUC7L	257	211	36	133	84	136	51	0	232
LUC7L2	1069	744	123	493	252	478	188	2	644
LUC7L3	452	283	68	197	112	260	71	1	359
LUCAT1	347	366	72	160	128	241	85	0	330
LUM	40	43	4	16	12	26	14	0	52
LUNAR1	9	5	3	4	4	3	1	0	11
LURAP1	4	2	0	1	0	2	0	0	1
LURAP1L	90	30	4	28	7	22	6	0	47
LURAP1L-AS1	16	7	2	1	0	2	0	0	9
LUZP1	242	138	36	103	44	96	29	0	126
LUZP2	867	884	178	389	319	918	289	2	1504
LVRN	16	9	4	4	4	5	3	1	7
LXN	5	2	1	6	2	2	5	0	8
LY6D	0	1	0	0	0	0	0	0	0
LY6E	77	55	11	43	12	38	18	0	43
